"show_1","show_2","distance"
"Blue Exorcist","Tokyo Ghoul","0.379597686580399"
"Tokyo Ghoul","Akame ga Kill!","0.316814068665174"
"Akame ga Kill!","Tokyo Ghoul","0.316814068665174"
"Tokyo Ghoul","Sword Art Online","0.315306577127281"
"Sword Art Online","Tokyo Ghoul","0.315306577127281"
"Tokyo Ghoul","Noragami: Stray God","0.302547805559116"
"Noragami: Stray God","Tokyo Ghoul","0.302547805559116"
"Tokyo Ghoul","No Game, No Life","0.310117956012518"
"No Game, No Life","Tokyo Ghoul","0.310117956012518"
"Tokyo Ghoul","Code Geass: Lelouch of the Rebellion R2","0.487283973180809"
"Code Geass: Lelouch of the Rebellion R2","Tokyo Ghoul","0.487283973180809"
"Tokyo Ghoul","Death Note","0.416138873567055"
"Death Note","Tokyo Ghoul","0.416138873567055"
"Tokyo Ghoul","Attack on Titan","0.265749235866292"
"Attack on Titan","Tokyo Ghoul","0.265749235866292"
"Tokyo Ghoul","Soul Eater","0.536539788992793"
"Soul Eater","Tokyo Ghoul","0.536539788992793"
"Tokyo Ghoul","Elfen Lied","0.495854556774223"
"Elfen Lied","Tokyo Ghoul","0.495854556774223"
"Tokyo Ghoul","One Punch Man","0.311204577511042"
"One Punch Man","Tokyo Ghoul","0.311204577511042"
"Tokyo Ghoul","The Future Diary","0.343730950122073"
"The Future Diary","Tokyo Ghoul","0.343730950122073"
"Tokyo Ghoul","Fullmetal Alchemist","0.580799988636017"
"Fullmetal Alchemist","Tokyo Ghoul","0.580799988636017"
"Tokyo Ghoul","Gurren Lagann","0.558859350785901"
"Gurren Lagann","Tokyo Ghoul","0.558859350785901"
"Tokyo Ghoul","Angel Beats!","0.405007061420805"
"Angel Beats!","Tokyo Ghoul","0.405007061420805"
"Tokyo Ghoul","Code Geass: Lelouch of the Rebellion","0.471725912414568"
"Code Geass: Lelouch of the Rebellion","Tokyo Ghoul","0.471725912414568"
"Fullmetal Alchemist: Brotherhood","Steins;Gate","0.367604673755268"
"Steins;Gate","Fullmetal Alchemist: Brotherhood","0.367604673755268"
"Fullmetal Alchemist: Brotherhood","Naruto","0.414000183499135"
"Naruto","Fullmetal Alchemist: Brotherhood","0.414000183499135"
"Fullmetal Alchemist: Brotherhood","Sword Art Online II","0.478690718164302"
"Sword Art Online II","Fullmetal Alchemist: Brotherhood","0.478690718164302"
"Fullmetal Alchemist: Brotherhood","Blue Exorcist","0.402692821466997"
"Blue Exorcist","Fullmetal Alchemist: Brotherhood","0.402692821466997"
"Fullmetal Alchemist: Brotherhood","Akame ga Kill!","0.479936762738621"
"Akame ga Kill!","Fullmetal Alchemist: Brotherhood","0.479936762738621"
"Fullmetal Alchemist: Brotherhood","Sword Art Online","0.359499568611145"
"Sword Art Online","Fullmetal Alchemist: Brotherhood","0.359499568611145"
"Fullmetal Alchemist: Brotherhood","Noragami: Stray God","0.448466655805632"
"Noragami: Stray God","Fullmetal Alchemist: Brotherhood","0.448466655805632"
"Fullmetal Alchemist: Brotherhood","No Game, No Life","0.43090697776522"
"No Game, No Life","Fullmetal Alchemist: Brotherhood","0.43090697776522"
"Fullmetal Alchemist: Brotherhood","Code Geass: Lelouch of the Rebellion R2","0.36173731585823"
"Code Geass: Lelouch of the Rebellion R2","Fullmetal Alchemist: Brotherhood","0.36173731585823"
"Fullmetal Alchemist: Brotherhood","Death Note","0.343690919088349"
"Death Note","Fullmetal Alchemist: Brotherhood","0.343690919088349"
"Fullmetal Alchemist: Brotherhood","Attack on Titan","0.33549878715811"
"Attack on Titan","Fullmetal Alchemist: Brotherhood","0.33549878715811"
"Fullmetal Alchemist: Brotherhood","Soul Eater","0.423538459174667"
"Soul Eater","Fullmetal Alchemist: Brotherhood","0.423538459174667"
"Fullmetal Alchemist: Brotherhood","Elfen Lied","0.439486823590132"
"Elfen Lied","Fullmetal Alchemist: Brotherhood","0.439486823590132"
"Fullmetal Alchemist: Brotherhood","One Punch Man","0.400692341272145"
"One Punch Man","Fullmetal Alchemist: Brotherhood","0.400692341272145"
"Fullmetal Alchemist: Brotherhood","The Future Diary","0.419123188054672"
"The Future Diary","Fullmetal Alchemist: Brotherhood","0.419123188054672"
"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist","0.360281770824432"
"Fullmetal Alchemist","Fullmetal Alchemist: Brotherhood","0.360281770824432"
"Fullmetal Alchemist: Brotherhood","Gurren Lagann","0.416541498142241"
"Gurren Lagann","Fullmetal Alchemist: Brotherhood","0.416541498142241"
"Fullmetal Alchemist: Brotherhood","Angel Beats!","0.382503239177969"
"Angel Beats!","Fullmetal Alchemist: Brotherhood","0.382503239177969"
"Fullmetal Alchemist: Brotherhood","Code Geass: Lelouch of the Rebellion","0.350946900997539"
"Code Geass: Lelouch of the Rebellion","Fullmetal Alchemist: Brotherhood","0.350946900997539"
"Steins;Gate","Naruto","0.503066586007457"
"Naruto","Steins;Gate","0.503066586007457"
"Steins;Gate","Sword Art Online II","0.451183108407901"
"Sword Art Online II","Steins;Gate","0.451183108407901"
"Steins;Gate","Blue Exorcist","0.440004203391761"
"Blue Exorcist","Steins;Gate","0.440004203391761"
"Steins;Gate","Akame ga Kill!","0.452540329529202"
"Akame ga Kill!","Steins;Gate","0.452540329529202"
"Steins;Gate","Sword Art Online","0.339960911779985"
"Sword Art Online","Steins;Gate","0.339960911779985"
"Steins;Gate","Noragami: Stray God","0.424037643006443"
"Noragami: Stray God","Steins;Gate","0.424037643006443"
"Steins;Gate","No Game, No Life","0.376037126628232"
"No Game, No Life","Steins;Gate","0.376037126628232"
"Steins;Gate","Code Geass: Lelouch of the Rebellion R2","0.38548228105746"
"Code Geass: Lelouch of the Rebellion R2","Steins;Gate","0.38548228105746"
"Steins;Gate","Death Note","0.39042799942531"
"Death Note","Steins;Gate","0.39042799942531"
"Steins;Gate","Attack on Titan","0.331934830699402"
"Attack on Titan","Steins;Gate","0.331934830699402"
"Steins;Gate","Soul Eater","0.513826216229212"
"Soul Eater","Steins;Gate","0.513826216229212"
"Steins;Gate","Elfen Lied","0.449854030542963"
